"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Chris Paul","2018","PG","UFA","HOU","HOU","4","$159,730,592","$39,932,648","$0","$159,730,592","$0","$0",""
"","LeBron James","2018","PF","UFA","CLE","LAL","4","$153,312,846","$38,328,212","$0","$153,312,846","$0","$0",""
"","Nikola Jokic","2018","C","RFA","DEN","DEN","5","$147,710,050","$29,542,010","$0","$142,710,045","$0","$0",""
"","Paul George","2018","SG","UFA","OKC","OKC","4","$136,911,936","$34,227,984","$136,911,936","$136,911,936","$30,560,700","$30,560,700",""
"","Aaron Gordon","2018","PF","RFA","ORL","ORL","4","$80,000,000","$20,000,000","$0","$76,000,000","$0","$0",""
"","Zach LaVine","2018","SG","RFA","CHI","CHI","4","$78,000,000","$19,500,000","$0","$78,000,000","$0","$0",""
"","Kevin Durant","2018","SF","UFA","GSW","GSW","2","$61,500,000","$30,750,000","$61,500,000","$61,500,000","$30,000,000","$30,000,000",""
"","Will Barton","2018","SG","UFA","DEN","DEN","4","$53,000,000","$13,250,000","$0","$53,000,000","$0","$0",""
"","Marcus Smart","2018","PG","RFA","BOS","BOS","4","$51,999,900","$12,999,975","$0","$50,000,000","$0","$0",""
"","Jusuf Nurkic","2018","C","RFA","POR","POR","4","$48,000,000","$12,000,000","$0","$40,000,000","$0","$0",""
"","Derrick Favors","2018","C","UFA","UTA","UTA","2","$37,600,000","$18,800,000","$0","$16,000,000","$0","$0",""
"","Kyle Anderson","2018","PF","RFA","SAS","MEM","4","$37,156,300","$9,289,075","$0","$37,156,300","$0","$0",""
"","Dante Exum","2018","PG","RFA","UTA","UTA","3","$33,000,000","$11,000,000","$27,300,000","$27,300,000","$9,600,000","$9,600,000",""
"","Jerami Grant","2018","PF","UFA","OKC","OKC","3","$27,346,153","$9,115,384","$0","$27,346,153","$0","$0",""
"","Avery Bradley","2018","PG","UFA","LAC","LAC","2","$24,960,000","$12,480,000","$0","$14,000,000","$0","$0",""
"","DeAndre Jordan","2018","C","UFA","LAC","DAL","1","$22,897,200","$22,897,200","$0","$22,897,200","$0","$0",""
"","Doug McDermott","2018","SF","UFA","DAL","IND","3","$22,000,000","$7,333,333","$0","$22,000,000","$0","$0",""
"","Ersan Ilyasova","2018","PF","UFA","PHI","MIL","3","$21,000,000","$7,000,000","$565,718","$14,000,000","$357,454","$565,718",""
"","Nemanja Bjelica","2018","PF","UFA","MIN","SAC","3","$20,475,000","$6,825,000","$0","$13,325,000","$0","$0",""
"","Jabari Parker","2018","PF","UFA","MIL","CHI","1","$20,000,000","$20,000,000","$0","$20,000,000","$0","$0",""
"","Fred VanVleet","2018","PG","RFA","TOR","TOR","2","$18,000,000","$9,000,000","$0","$18,000,000","$0","$0",""
"","Julius Randle","2018","PF","UFA","LAL","NOP","2","$17,714,050","$8,857,025","$0","$17,714,050","$0","$0",""
"","Joe Harris","2018","SG","UFA","BKN","BKN","2","$16,000,000","$8,000,000","$0","$16,000,000","$0","$0",""
"","Trevor Ariza","2018","SF","UFA","HOU","PHX","1","$15,000,000","$15,000,000","$0","$15,000,000","$0","$0",""
"","Davis Bertans","2018","PF","RFA","SAS","SAS","2","$14,500,000","$7,250,000","$0","$14,000,000","$0","$0",""
"","Tyreke Evans","2018","SG","UFA","MEM","IND","1","$12,400,000","$12,400,000","$0","$12,300,000","$0","$0",""
"","J.J. Redick","2018","SG","UFA","PHI","PHI","1","$12,250,000","$12,250,000","$0","$12,250,000","$0","$0",""
"","Montrezl Harrell","2018","C","RFA","LAC","LAC","2","$12,000,000","$6,000,000","$0","$12,000,000","$0","$0",""
"","Kentavious Caldwell-Pope","2018","SG","UFA","LAL","LAL","1","$12,000,000","$12,000,000","$0","$12,000,000","$0","$0",""
"","Marco Belinelli","2018","SG","UFA","PHI","SAS","2","$12,000,000","$6,000,000","$0","$12,000,000","$0","$0",""
"","Dwight Howard","2018","C","UFA","BKN","WAS","2","$10,940,850","$5,470,425","$0","$10,940,850","$0","$0",""
"","Aron Baynes","2018","C","UFA","BOS","BOS","2","$10,646,880","$5,323,440","$0","$10,646,880","$0","$0",""
"","Rudy Gay","2018","PF","UFA","SAS","SAS","1","$10,087,200","$10,087,200","$0","$10,087,200","$0","$0",""
"","Tony Parker","2018","PG","UFA","SAS","CHA","2","$10,000,000","$5,000,000","$10,000,000","$10,000,000","$5,000,000","$5,000,000",""
"","Rajon Rondo","2018","PG","UFA","NOP","LAL","1","$9,000,000","$9,000,000","$5,184,358","$9,000,000","$2,564,753","$2,564,753",""
"","Alex Len","2018","C","UFA","PHX","ATL","2","$8,510,000","$4,255,000","$0","$8,510,000","$0","$0",""
"","Wayne Ellington","2018","SG","UFA","MIA","MIA","1","$6,270,000","$6,270,000","$6,000,000","$6,270,000","$6,000,000","$6,000,000",""
"","Patrick McCaw","2018","SG","RFA","GSW","CLE","2","$6,000,000","$3,000,000","$0","$0","$3,000,000","$3,000,000",""
"","Bryn Forbes","2018","SG","RFA","SAS","SAS","2","$6,000,000","$3,000,000","$6,000,000","$6,000,000","$3,125,000","$3,125,000",""
"","Isaiah Briscoe","2018","PG","UFA","","ORL","4","$5,999,003","$1,499,751","$0","$500,000","$0","$0",""
"","Anthony Tolliver","2018","PF","UFA","DET","MIN","1","$5,750,000","$5,750,000","$5,750,000","$5,750,000","$5,750,000","$5,750,000",""
"","DeMarcus Cousins","2018","C","UFA","NOP","GSW","1","$5,337,000","$5,337,000","$0","$5,337,000","$0","$0",""
"","Dirk Nowitzki","2018","PF","UFA","DAL","DAL","1","$5,000,000","$5,000,000","$0","$5,000,000","$0","$0",""
"","Georges Niang","2018","PF","RFA","UTA","UTA","3","$4,941,515","$1,647,172","$0","$4,941,515","$0","$0",""
"","Monte Morris","2018","PG","UFA","DEN","DEN","3","$4,661,321","$1,553,774","$0","$2,937,614","$0","$0",""
"","Ed Davis","2018","C","UFA","POR","BKN","1","$4,449,000","$4,449,000","$0","$4,449,000","$6,980,802","$6,980,802",""
"","Kyle O'Quinn","2018","C","UFA","NYK","IND","1","$4,449,000","$4,449,000","$0","$4,449,000","$3,750,000","$3,595,506",""
"","Lance Stephenson","2018","SG","UFA","IND","LAL","1","$4,449,000","$4,449,000","$0","$4,449,000","$980,431","$1,227,286",""
"","Raul Neto","2018","PG","RFA","UTA","UTA","2","$4,400,000","$2,200,000","$0","$2,100,000","$0","$0",""
"","Luc Richard Mbah a Moute","2018","PF","UFA","HOU","LAC","1","$4,320,500","$4,320,500","$4,320,500","$4,320,500","$4,320,500","$4,320,500",""
"","Mike Scott","2018","PF","UFA","WAS","LAC","1","$4,320,500","$4,320,500","$0","$4,320,500","$0","$0",""
"","Glenn Robinson III","2018","SF","UFA","IND","DET","1","$4,075,000","$4,075,000","$4,075,000","$4,075,000","$4,075,000","$4,075,000",""
"","Torrey Craig","2018","SF","RFA","DEN","DEN","2","$4,000,000","$2,000,000","$0","$4,000,000","$0","$0",""
"","Shabazz Napier","2018","PG","UFA","POR","BKN","2","$3,787,723","$1,893,862","$0","$1,942,422","$0","$0",""
"","Nerlens Noel","2018","C","UFA","DAL","OKC","2","$3,745,548","$1,872,774","$0","$3,745,548","$0","$0",""
"","Michael Beasley","2018","SF","UFA","NYK","LAL","1","$3,500,000","$3,500,000","$0","$3,500,000","$1,471,382","$2,116,955",""
"","Rodney Hood","2018","SF","RFA","CLE","CLE","1","$3,472,887","$3,472,887","$0","$3,472,887","$0","$0",""
"","James Ennis III","2018","SF","UFA","DET","HOU","2","$3,466,716","$1,733,358","$0","$3,466,716","$49,709","$49,709",""
"","Brook Lopez","2018","C","UFA","LAL","MIL","1","$3,382,000","$3,382,000","$0","$3,382,000","$0","$0",""
"","Pat Connaughton","2018","SG","UFA","POR","MIL","2","$3,364,050","$1,682,025","$3,364,050","$3,364,050","$1,641,000","$1,641,000",""
"","Treveon Graham","2018","SF","UFA","CHA","BKN","2","$3,157,958","$1,578,979","$75,000","$1,512,601","$543,471","$543,471",""
"","Derrick Jones Jr.","2018","SF","RFA","MIA","MIA","2","$3,157,958","$1,578,979","$0","$1,512,601","$0","$0",""
"","Elfrid Payton","2018","PG","UFA","PHX","NOP","1","$3,000,000","$3,000,000","$0","$3,000,000","$0","$0",""
"","Tyrone Wallace","2018","SG","RFA","LAC","LAC","2","$2,937,614","$1,468,807","$300,000","$300,000","$1,349,383","$1,349,383",""
