Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Kevin Garnett,2011,PF,BOS,"$15,691,186",$0,"$21,247,044",0.366,"$15,691,186","$17,100,000",3,"$51,300,000","$281,804,240",2012,2009,32
Tim Duncan,2011,PF,SAS,"$17,034,937",$0,"$21,164,619",0.365,"$17,034,937","$20,000,000",2,"$40,000,000","$200,019,604",2012,2010,33
Rashard Lewis,2011,PF,WAS,"$17,012,410",$0,"$21,136,631",0.364,"$17,012,410","$19,700,000",6,"$118,200,000","$134,700,808",2013,2007,27
Dirk Nowitzki,2011,PF,DAL,"$15,367,434",$0,"$19,092,873",0.32899999999999996,"$15,367,434","$20,000,000",4,"$80,000,000","$156,710,037",2014,2010,31
Carmelo Anthony,2011,SF,NYK,"$14,905,194",$0,"$18,518,574",0.319,"$14,905,194","$15,779,912",5,"$78,899,560","$90,394,421",0,2007,22
Amar'e Stoudemire,2011,PF,NYK,"$14,663,031",$0,"$18,217,705",0.314,"$14,663,031","$19,948,799",5,"$99,743,996","$97,104,355",2015,2010,27
Dwight Howard,2011,C,ORL,"$14,561,669",$0,"$18,091,770",0.312,"$14,561,669","$16,647,180",5,"$83,235,900","$79,710,313",2013,2007,21
Joe Johnson,2011,SG,ATL,"$14,518,851",$0,"$18,038,573",0.311,"$14,518,851","$20,609,682",6,"$123,658,089","$105,832,752",2016,2010,28
Elton Brand,2011,PF,PHI,"$13,730,999",$0,"$17,059,726",0.294,"$13,730,999","$15,959,099",5,"$79,795,494","$139,849,549",2013,2008,28
Chris Paul,2011,PG,LAC,"$13,167,648",$0,"$16,359,805",0.282,"$13,167,648","$15,907,354",4,"$63,629,415","$57,372,349",2013,2009,23
Chris Bosh,2011,PF,MIA,"$12,896,159",$0,"$16,022,500",0.276,"$12,896,159","$18,306,250",6,"$109,837,500","$83,745,822",2014,2010,25
LeBron James,2011,SF,MIA,"$12,896,159",$0,"$16,022,500",0.276,"$12,896,159","$18,306,250",6,"$109,837,500","$89,416,442",2014,2010,25
Dwyane Wade,2011,SG,MIA,"$12,485,268",$0,"$15,512,000",0.267,"$12,485,268","$17,864,333",6,"$107,186,000","$82,060,934",2016,2010,27
Paul Pierce,2011,SF,BOS,"$12,341,464",$0,"$15,333,334",0.264,"$12,341,464","$15,333,334",4,"$61,333,334","$149,703,353",2014,2010,32
Antawn Jamison,2011,PF,CLE,"$12,134,917",$0,"$15,076,715",0.26,"$12,134,917","$12,500,000",4,"$50,000,000","$136,473,573",2012,2008,31
Andrew Bynum,2011,C,LAL,"$11,992,683",$0,"$14,900,000",0.257,"$11,992,683","$14,300,000",4,"$57,200,000","$47,052,943",2013,2009,21
Al Jefferson,2011,C,UTA,"$11,268,293",$0,"$14,000,000",0.24100000000000002,"$11,268,293","$13,000,000",5,"$65,000,000","$54,287,578",2013,2008,22
Andre Iguodala,2011,SF,PHI,"$10,891,409",$0,"$13,531,750",0.233,"$10,891,409","$13,416,667",6,"$80,500,000","$55,715,668",2013,2008,23
Carlos Boozer,2011,PF,CHI,"$10,865,854",$0,"$13,500,000",0.233,"$10,865,854","$15,000,000",5,"$75,000,000","$96,375,590",2014,2010,28
Manu Ginobili,2011,SG,SAS,"$10,448,153",$0,"$12,981,038",0.22399999999999998,"$10,448,153","$12,981,038",3,"$38,943,114","$66,357,108",2013,2010,32
Josh Smith,2011,SF,ATL,"$9,980,488",$0,"$12,400,000",0.214,"$9,980,488","$11,600,000",5,"$58,000,000","$48,720,111",2013,2008,22
LaMarcus Aldridge,2011,PF,POR,"$9,555,512",$0,"$12,372,000",0.213,"$9,957,951","$13,000,000",5,"$65,000,000","$40,034,858",2015,2010,24
Luol Deng,2011,SF,CHI,"$9,920,122",$0,"$12,325,000",0.212,"$9,920,122","$11,834,238",6,"$71,005,425","$51,672,646",2014,2008,22
Rudy Gay,2011,SF,MEM,"$12,099,043",$0,"$12,099,043",0.20800000000000002,"$12,099,043","$16,460,538",5,"$82,302,690","$36,216,640",2015,2010,23
Danny Granger,2011,SF,IND,"$9,671,337",$0,"$12,015,904",0.207,"$9,671,337","$12,000,000",5,"$60,000,000","$37,158,364",2013,2009,25
Andrew Bogut,2011,C,MIL,"$9,658,537",$0,"$12,000,000",0.207,"$9,658,537","$12,000,000",5,"$60,000,000","$50,950,847",0,2009,24
Steve Nash,2011,PG,PHX,"$9,408,269",$0,"$11,689,062",0.201,"$9,408,269","$11,000,000",2,"$22,000,000","$116,754,327",2012,2010,35
David Lee,2011,PF,GSW,"$9,344,634",$0,"$11,610,000",0.2,"$9,344,634","$13,256,280",6,"$79,537,680","$31,710,667",2016,2010,26
Ben Gordon,2011,SG,DET,"$9,336,585",$0,"$11,600,000",0.2,"$9,336,585","$10,000,000",5,"$50,000,000","$52,253,604",2013,2009,25
Kevin Martin,2011,SG,HOU,"$9,272,066",$0,"$11,519,840",0.198,"$9,272,066","$10,600,005",5,"$53,000,025","$42,933,017",2013,2008,24
Jason Terry,2011,SG,DAL,"$9,205,793",$0,"$11,437,500",0.19699999999999998,"$9,205,793","$9,670,500",6,"$58,023,000","$85,182,587",2012,2006,28
Marcus Camby,2011,C,POR,"$7,450,354",$0,"$11,071,500",0.191,"$8,911,208","$8,854,875",2,"$17,709,750","$118,090,914",2012,2010,35
Hedo Turkoglu,2011,SF,ORL,"$8,531,707",$0,"$11,015,850",0.19,"$8,866,416","$10,560,000",5,"$52,800,000","$63,144,117",2013,2009,29
Monta Ellis,2011,SG,GSW,"$8,853,659",$0,"$11,000,000",0.19,"$8,853,659","$11,000,000",6,"$66,000,000","$43,737,240",2013,2008,22
Jason Kidd,2011,PG,DAL,"$6,841,463",$0,"$10,121,000",0.174,"$6,841,463","$8,366,667",3,"$25,100,000","$178,937,968",2012,2009,35
Rajon Rondo,2011,PG,BOS,"$8,085,366",$0,"$10,045,455",0.17300000000000001,"$8,085,366","$11,000,000",5,"$55,000,001","$22,959,159",2015,2010,23
Ray Allen,2011,SG,BOS,"$8,048,780",$0,"$10,000,000",0.172,"$8,048,780","$10,000,000",2,"$20,000,000","$176,085,780",2012,2010,34
Jose Calderon,2011,PG,TOR,"$7,872,506",$0,"$9,780,992",0.16899999999999998,"$7,872,506","$9,000,000",5,"$45,000,000","$39,524,468",2013,2008,26
Devin Harris,2011,PG,UTA,"$7,500,659",$0,"$9,319,000",0.161,"$7,500,659","$8,600,000",5,"$43,000,000","$45,519,102",2013,2008,24
Richard Jefferson,2011,SF,SAS,"$7,470,878",$0,"$9,282,000",0.16,"$7,470,878","$9,723,000",4,"$38,892,000","$83,586,192",2014,2010,29
Andrea Bargnani,2011,C,TOR,"$7,445,122",$0,"$9,250,000",0.159,"$7,445,122","$10,000,000",5,"$50,000,000","$36,989,133",2015,2010,24
Andris Biedrins,2011,C,GSW,"$7,243,902",$0,"$9,000,000",0.155,"$7,243,902","$9,000,000",6,"$54,000,000","$42,452,678",2014,2008,21
Lamar Odom,2011,PF,DAL,"$7,163,415",$0,"$8,900,000",0.153,"$7,163,415","$8,200,000",4,"$32,800,000","$106,031,073",2013,2009,29
Jameer Nelson,2011,PG,ORL,"$6,197,561",$0,"$8,600,000",0.14800000000000002,"$6,921,951","$7,700,000",5,"$38,500,000","$36,051,040",2012,2008,25
Luis Scola,2011,PF,HOU,"$6,915,346",$0,"$8,591,793",0.14800000000000002,"$6,915,346","$9,408,207",5,"$47,041,037","$24,076,991",0,2010,29
Mo Williams,2011,PG,LAC,"$6,841,463",$0,"$8,500,000",0.146,"$6,841,463","$8,543,833",6,"$51,263,000","$46,751,394",2013,2007,24
John Salmons,2011,SF,MIL,"$6,841,463",$0,"$8,500,000",0.146,"$6,841,463","$7,833,200",5,"$39,166,000","$38,684,264",2015,2010,30
Paul Millsap,2011,PF,UTA,"$5,395,448","$1,400,000","$8,103,435",0.14,"$6,795,448","$6,600,000",4,"$26,400,000","$24,198,417",2013,2009,23
Shawn Marion,2011,SF,DAL,"$6,457,093",$0,"$8,022,449",0.138,"$6,457,093","$8,003,842",5,"$40,019,211","$113,959,756",2014,2009,30
Kirk Hinrich,2011,SG,ATL,"$6,439,024",$0,"$8,000,000",0.138,"$6,439,024","$9,550,000",5,"$47,750,000","$56,431,292",2012,2007,25
Andre Miller,2011,PG,DEN,"$6,284,269",$0,"$7,807,728",0.135,"$6,284,269","$7,269,264",3,"$21,807,792","$80,070,242",2012,2009,32
Anderson Varejao,2011,PF,CLE,"$6,197,561",$0,"$7,700,000",0.133,"$6,197,561","$8,050,000",6,"$48,300,000","$33,238,441",0,2009,26
Brendan Haywood,2011,C,DAL,"$6,136,793",$0,"$7,624,500",0.131,"$6,136,793","$7,262,250",2,"$14,524,500","$42,927,978",2012,2010,30
Leandro Barbosa,2011,SG,TOR,"$6,117,073",$0,"$7,600,000",0.131,"$6,117,073","$6,600,000",5,"$33,000,000","$35,806,686",2012,2007,24
Raymond Felton,2011,PG,POR,"$6,084,878",$0,"$7,560,000",0.13,"$6,084,878","$7,280,000",2,"$14,560,000","$31,917,430",2012,2010,25
Charlie Villanueva,2011,PF,DET,"$6,068,780",$0,"$7,540,000",0.13,"$6,068,780","$7,540,000",5,"$37,700,000","$30,650,590",2014,2009,24
Marvin Williams,2011,PF,ATL,"$6,036,585",$0,"$7,500,000",0.129,"$6,036,585","$7,500,000",5,"$37,500,000","$38,409,628",2014,2009,22
Stephen Jackson,2011,SF,GSW,"$5,996,626",$0,"$7,450,354",0.128,"$5,996,626","$9,256,500",3,"$27,769,500","$55,307,630",2013,2010,31
Kendrick Perkins,2011,C,OKC,"$5,733,650",$0,"$7,123,626",0.12300000000000001,"$5,733,650","$7,850,531",5,"$39,252,656","$30,055,771",2015,2010,25
Beno Udrih,2011,PG,MIL,"$5,574,102",$0,"$6,925,400",0.11900000000000001,"$5,574,102","$6,478,600",5,"$32,393,000","$28,919,347",2013,2008,25
Metta World Peace,2011,SF,LAL,"$5,465,637",$0,"$6,790,640",0.11699999999999999,"$5,466,537","$6,790,640",5,"$33,953,200","$63,829,997",2014,2009,29
