"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Solomon Alabi",2011,22,"C","TOR",12,0.2,0,0.2,0.2,0,202374,4.9,0.3,1.3,0,0,0.3,1.3,0,0.2,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,59,2,0.189,0,0.133,0.137,0.144,0.141,0.046,0.018,0.026,0.159,0.143,-0.2,0,-0.2,-0.142,-6,-2.9,-8.9,-0.1,59,3,15,0,0,3,15,0,2,7,7,14,2,2,2,3,5,6
"Cole Aldrich",2011,22,"C","OKC",18,0.533,0,0.533,0.533,0.5,202332,7.9,0.4,0.8,0,0,0.4,0.8,0.1,0.2,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1,142,7,0.537,0,0.267,0.111,0.175,0.144,0.04,0.018,0.036,0.323,0.079,0,0.2,0.2,0.066,-5.6,1.6,-4,-0.1,142,8,15,0,0,8,15,2,4,13,22,35,4,5,7,8,30,18
"Chris Andersen",2011,32,"C","DEN",45,0.599,0,0.603,0.599,0.637,2365,16.3,1.8,3,0,0,1.8,3,1.9,3,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,732,19,0.636,0.007,0.985,0.122,0.221,0.173,0.04,0.016,0.06,0.113,0.135,1.9,1.2,3.2,0.207,1.2,1.8,3,0.9,732,82,137,0,1,82,136,86,135,75,144,219,20,23,58,25,79,250
"Joel Anthony",2011,28,"C","MIA",75,0.535,0,0.535,0.535,0.644,201202,19.5,0.7,1.3,0,0,0.7,1.3,0.6,1,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2,1463,7.3,0.583,0,0.737,0.09,0.124,0.108,0.022,0.4,0.05,0.215,0.053,1.2,2.1,3.3,0.107,-3.2,1.6,-1.6,0.2,1463,53,99,0,0,53,99,47,73,104,162,266,24,10,93,36,194,153
"Omer Asik",2011,24,"C","CHI",82,0.553,0,0.553,0.553,0.503,201600,12.1,1,1.7,0,0,1,1.7,0.9,1.8,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2.8,989,11.8,0.559,0,0.01028,0.137,0.223,0.181,0.047,0.011,0.043,0.238,0.125,0.5,2.2,2.7,0.13,-3.6,1.8,-1.8,0.1,989,78,141,0,0,78,141,73,145,112,194,306,32,20,56,64,153,229
"Andrea Bargnani",2011,25,"C","TOR",66,0.448,0.345,0.472,0.48,0.82,200745,35.7,8,17.8,1.2,3.4,6.8,14.4,4.3,5.3,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.4,2353,16.4,0.533,0.19,0.298,0.036,0.139,0.086,0.088,0.7,0.015,0.103,0.282,2.2,0.3,2.5,0.052,1.2,-2.6,-1.4,0.4,2353,525,1173,77,223,448,950,287,350,74,269,343,119,34,46,152,160,1414
"Tony Battie",2011,34,"C","PHI",38,0.469,0.667,0.462,0.479,0.571,1499,9.9,1.2,2.5,0.1,0.1,1.1,2.4,0.2,0.4,0.4,2.2,2.6,0.3,0.1,0.4,0.3,1.6,2.6,377,9.5,0.489,0.031,0.146,0.052,0.251,0.151,0.048,0.7,0.03,0.105,0.139,0,0.6,0.6,0.075,-4.1,0.8,-3.3,-0.1,377,45,96,2,3,43,93,8,14,17,82,99,12,5,15,12,59,100
"Andris Biedrins",2011,24,"C","GSW",59,0.534,0,0.534,0.534,0.323,2740,23.7,2.4,4.5,0,0,2.4,4.5,0.2,0.5,2.5,4.8,7.2,1,0.9,0.9,1,3.4,5,1397,12.1,0.526,0,0.117,0.115,0.233,0.173,0.06,0.019,0.028,0.169,0.106,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1,1397,142,266,0,0,142,266,10,31,145,281,426,60,52,52,57,198,294
"Andrew Bogut",2011,26,"C","MIL",65,0.495,0,0.497,0.495,0.442,101106,35.3,5.6,11.4,0,0.1,5.6,11.4,1.5,3.3,3.1,8,11.1,2,0.7,2.6,1.9,3.3,12.8,2297,16.7,0.496,0.005,0.292,0.098,0.271,0.183,0.104,0.011,0.058,0.13,0.196,0.3,5.1,5.4,0.112,-1,2.4,1.3,1.9,2297,367,742,0,4,367,738,96,217,199,521,720,131,47,168,125,217,830
"Carlos Boozer",2011,29,"C","CHI",59,0.51,0,0.51,0.51,0.701,2430,31.9,7.3,14.3,0,0,7.3,14.3,2.9,4.1,2.2,7.4,9.6,2.5,0.8,0.3,2.5,3.2,17.5,1882,18.8,0.542,0,0.289,0.083,0.263,0.176,0.143,0.013,0.7,0.135,0.269,1.9,3.9,5.8,0.149,0.2,0.8,1,1.4,1882,431,845,0,0,431,845,171,244,130,435,565,145,45,18,149,186,1033
