"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Al-Farouq Aminu",2011,20,"SF","LAC",81,0.394,0.315,0.437,0.45,0.773,202329,17.9,2,5,0.6,1.8,1.4,3.2,1.1,1.5,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,1452,9.6,0.499,0.352,0.293,0.061,0.154,0.108,0.064,0.021,0.013,0.183,0.173,-0.8,1.4,0.7,0.022,-2.7,-0.1,-2.8,-0.3,1452,160,406,45,143,115,263,92,119,75,192,267,60,59,25,103,121,457
"James Anderson",2011,21,"SF","SAS",26,0.383,0.391,0.371,0.494,0.778,202341,11,1.2,3.1,0.7,1.8,0.5,1.3,0.5,0.7,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,286,8.5,0.529,0.568,0.222,0.8,0.083,0.047,0.092,0.5,0.015,0.128,0.164,0.1,0.2,0.3,0.051,-1.1,-0.6,-1.7,0,286,31,81,18,46,13,35,14,18,2,21,23,18,3,6,13,24,94
"Trevor Ariza",2011,25,"SF","NOH",75,0.398,0.303,0.45,0.451,0.701,2772,34.7,4,10.2,1.1,3.6,2.9,6.5,1.8,2.6,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11,2600,11.3,0.487,0.356,0.259,0.028,0.164,0.095,0.1,0.025,0.01,0.122,0.177,-0.4,3.8,3.4,0.062,-1.7,1.3,-0.4,1,2600,303,762,82,271,221,491,138,197,61,347,408,162,120,31,118,180,826
"Luke Babbitt",2011,21,"SF","POR",24,0.273,0.188,0.308,0.3,0.333,202337,5.7,0.6,2.3,0.1,0.7,0.5,1.6,0.1,0.4,0.3,1,1.3,0.3,0.1,0.1,0.3,0.6,1.5,137,1,0.305,0.291,0.164,0.051,0.224,0.134,0.069,0.8,0.012,0.119,0.228,-0.6,0.1,-0.4,-0.143,-8.3,-2.5,-10.8,-0.3,137,15,55,3,16,12,39,3,9,6,24,30,6,2,2,8,15,36
"Matt Barnes",2011,30,"SF","LAL",53,0.47,0.318,0.564,0.53,0.779,2440,19.2,2.5,5.3,0.6,2,1.8,3.2,1.1,1.5,1.4,2.9,4.3,1.3,0.7,0.4,1.1,2.4,6.7,1020,14.6,0.569,0.384,0.276,0.084,0.167,0.127,0.105,0.02,0.016,0.156,0.166,1.4,1.6,3,0.142,-0.5,1,0.6,0.7,1020,131,279,34,107,97,172,60,77,73,155,228,71,39,22,58,127,356
"Nicolas Batum",2011,22,"SF","POR",80,0.455,0.345,0.535,0.528,0.841,201587,31.5,4.6,10.1,1.5,4.3,3.1,5.8,1.7,2.1,1.4,3.2,4.5,1.5,0.9,0.6,1,2.4,12.4,2522,14.8,0.563,0.424,0.203,0.051,0.128,0.088,0.081,0.015,0.016,0.086,0.178,4.4,2.3,6.6,0.126,1.1,0,1.1,2,2522,367,807,118,342,249,465,138,164,109,252,361,123,68,49,83,194,990
"Michael Beasley",2011,22,"SF","MIN",73,0.45,0.366,0.463,0.474,0.753,201563,32.3,7.7,17.1,0.8,2.2,6.9,14.8,3,4,1.6,4,5.6,2.2,0.7,0.7,2.7,3,19.2,2361,15.5,0.51,0.132,0.234,0.054,0.141,0.096,0.123,0.011,0.017,0.124,0.283,0.7,1,1.7,0.035,0,-1.8,-1.8,0.1,2361,561,1246,60,164,501,1082,219,291,118,291,409,158,54,52,195,222,1401
"Chase Budinger",2011,22,"SF","HOU",78,0.425,0.325,0.497,0.493,0.855,201978,22.3,3.6,8.4,1.1,3.5,2.4,4.9,1.5,1.8,0.7,2.9,3.6,1.6,0.5,0.2,0.9,1.5,9.8,1738,14.2,0.534,0.418,0.21,0.034,0.15,0.092,0.115,0.012,0.7,0.085,0.199,2.2,1.2,3.4,0.095,0.6,-0.8,-0.2,0.8,1738,279,656,89,274,190,382,118,138,52,229,281,127,41,18,67,114,765
"Caron Butler",2011,30,"SF","DAL",29,0.45,0.431,0.454,0.487,0.773,2406,29.9,5.9,13,1,2.2,4.9,10.8,2.3,3,0.8,3.3,4.1,1.6,1,0.3,1.7,2,15,867,14.2,0.523,0.172,0.233,0.031,0.125,0.08,0.091,0.017,0.7,0.105,0.251,0.2,1,1.2,0.067,-0.8,0,-0.9,0.2,867,170,378,28,65,142,313,68,88,22,96,118,46,28,8,49,59,436
"Brian Cardinal",2011,33,"SF","DAL",56,0.43,0.483,0.077,0.64,0.944,2073,11,0.8,1.8,0.8,1.6,0,0.2,0.3,0.3,0.2,0.9,1.1,0.7,0.4,0.1,0.3,1.5,2.6,618,9.7,0.672,0.87,0.18,0.02,0.089,0.056,0.091,0.02,0.9,0.136,0.095,1,0.7,1.7,0.132,-1.2,2.4,1.2,0.5,618,43,100,42,87,1,13,17,18,10,49,59,40,24,7,17,82,145
"Omri Casspi",2011,22,"SF","SAC",71,0.412,0.372,0.445,0.496,0.673,201956,24,3.2,7.7,1.3,3.5,1.9,4.2,1,1.4,1,3.3,4.3,1,0.8,0.2,1,1.6,8.6,1702,11.7,0.517,0.452,0.185,0.048,0.16,0.103,0.066,0.016,0.6,0.103,0.167,1.1,1.3,2.5,0.069,-0.1,-0.4,-0.6,0.6,1702,225,546,92,247,133,299,68,101,74,233,307,74,54,13,68,115,610
"Marquis Daniels",2011,30,"SF","BOS",49,0.491,0.19,0.521,0.5,0.684,2605,19.1,2.3,4.7,0.1,0.4,2.2,4.3,0.8,1.2,0.5,1.8,2.3,1.3,0.8,0.4,0.8,1.3,5.5,938,11.7,0.527,0.091,0.246,0.033,0.11,0.074,0.106,0.022,0.018,0.129,0.151,0.3,1.7,2,0.103,-1.7,2.3,0.6,0.6,938,114,232,4,21,110,211,39,57,24,89,113,64,39,22,38,63,271
"Austin Daye",2011,22,"SF","DET",72,0.41,0.401,0.415,0.483,0.759,201948,20.1,2.7,6.5,1,2.4,1.7,4.2,1.1,1.5,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5,1446,13,0.518,0.365,0.229,0.052,0.186,0.116,0.085,0.015,0.022,0.102,0.186,1.2,0.9,2.1,0.07,-0.8,-0.5,-1.3,0.3,1446,193,471,69,172,124,299,82,108,64,210,274,78,39,39,59,165,537
"Carlos Delfino",2011,28,"SF","MIL",49,0.39,0.37,0.415,0.492,0.8,2568,32.4,4.1,10.5,2.1,5.8,1.9,4.7,1.2,1.5,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,11.5,1590,13.1,0.517,0.554,0.146,0.017,0.132,0.073,0.121,0.026,0.4,0.095,0.177,0.9,2.6,3.5,0.105,-0.3,1.7,1.5,1.4,1590,200,513,105,284,95,229,60,75,24,176,200,112,76,8,57,72,565
"Luol Deng",2011,25,"SF","CHI",82,0.46,0.345,0.506,0.51,0.753,2736,39.1,6.5,14.1,1.4,4.1,5.1,10,3.1,4.1,1.4,4.4,5.8,2.8,1,0.6,1.9,2,17.4,3208,15.5,0.549,0.288,0.291,0.044,0.128,0.087,0.119,0.013,0.011,0.107,0.209,4.7,5.2,9.9,0.149,1.1,0.6,1.7,3,3208,531,1155,115,333,416,822,253,336,116,360,476,230,78,48,156,162,1430
"Chris Douglas-Roberts",2011,24,"SF","MIL",44,0.429,0.326,0.449,0.456,0.831,201604,20.1,2.7,6.2,0.3,1,2.3,5.2,1.7,2,0.2,1.8,2,1.1,0.7,0.3,0.8,1.7,7.3,884,11.5,0.517,0.168,0.326,0.9,0.11,0.058,0.098,0.018,0.012,0.101,0.184,0.4,1.3,1.6,0.088,-2.5,1,-1.4,0.1,884,117,273,15,46,102,227,74,89,7,81,88,50,29,13,35,73,323
"Jared Dudley",2011,25,"SF","PHO",82,0.477,0.415,0.519,0.56,0.743,201162,26.1,3.7,7.7,1.3,3.1,2.4,4.6,2,2.7,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,2140,15.6,0.598,0.402,0.347,0.06,0.112,0.086,0.076,0.021,0.7,0.096,0.169,4.2,1.4,5.6,0.126,1.5,0.2,1.8,2,2140,300,629,105,253,195,376,162,218,111,207,318,108,87,20,77,139,867
"Ronald Dupree",2011,30,"SF","TOR",3,0.25,0,0.333,0.25,0,2648,4.3,0.3,1.3,0,0.3,0.3,1,0,0,0,1,1,0.3,0,0,0,0.7,0.7,13,0.5,0.25,0.25,0,0,0.28,0.137,0.107,0,0,0,0.138,0,0,0,-0.094,-7.3,-2.7,-10,0,13,1,4,0,1,1,3,0,0,0,3,3,1,0,0,0,2,2
