"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Arron Afflalo",2011,25,"SG","DEN",69,0.498,0.423,0.546,0.581,0.847,201167,33.7,4.5,9.1,1.5,3.6,3,5.5,2,2.4,0.7,3,3.6,2.4,0.5,0.4,1,2.2,12.6,2324,13.6,0.62,0.396,0.26,0.023,0.099,0.062,0.109,0.7,0.01,0.092,0.148,4.8,1.4,6.2,0.128,1.7,-0.3,1.4,2,2324,312,627,105,248,207,379,138,163,45,206,251,168,34,31,71,153,867
"Maurice Ager",2011,26,"SG","MIN",4,0.545,0.75,0.429,0.682,0,200772,7.3,1.5,2.8,0.8,1,0.8,1.8,0,0,0,0.5,0.5,0.3,0.3,0,1,1,3.8,29,10.1,0.682,0.364,0,0,0.079,0.038,0.06,0.017,0,0.267,0.22,0,0,0,-0.015,-0.9,0.2,-0.7,0,29,6,11,3,4,3,7,0,0,0,2,2,1,1,0,4,4,15
"Ray Allen",2011,35,"SG","BOS",80,0.491,0.444,0.52,0.577,0.881,951,36.1,6,12.2,2.1,4.7,3.9,7.5,2.4,2.7,0.6,2.8,3.4,2.7,1,0.2,1.5,1.8,16.5,2890,16.4,0.615,0.387,0.224,0.023,0.09,0.058,0.127,0.014,0.4,0.098,0.198,5.8,4.2,10,0.166,2.3,0.6,2.9,3.6,2890,480,978,168,378,312,600,193,219,51,223,274,219,77,16,117,147,1321
"Tony Allen",2011,29,"SG","MEM",72,0.51,0.174,0.527,0.514,0.753,2754,20.8,3.5,6.8,0.1,0.3,3.4,6.5,1.9,2.5,1,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,1494,18.4,0.562,0.047,0.37,0.055,0.099,0.077,0.109,0.045,0.024,0.131,0.199,2,2.7,4.7,0.152,0.1,3.5,3.6,2.1,1494,251,492,4,23,247,469,137,182,70,123,193,104,129,44,86,161,643
"Leandro Barbosa",2011,28,"SG","TOR",58,0.45,0.338,0.505,0.505,0.796,2571,24.1,5.1,11.3,1.2,3.7,3.8,7.6,1.9,2.4,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,13.3,1395,15.3,0.539,0.326,0.21,0.012,0.074,0.042,0.146,0.019,0.3,0.105,0.256,1.4,0.1,1.5,0.052,0.4,-1.7,-1.3,0.2,1395,294,653,72,213,222,440,109,137,14,85,99,119,50,6,84,112,769
"Marco Belinelli",2011,24,"SG","NOH",80,0.437,0.414,0.458,0.534,0.784,201158,24.5,3.8,8.6,1.7,4.1,2.1,4.6,1.2,1.6,0.2,1.7,1.9,1.2,0.5,0.1,1,1.8,10.5,1957,12.1,0.56,0.469,0.181,0.011,0.084,0.047,0.08,0.011,0.3,0.094,0.2,1.9,1.5,3.4,0.084,0.2,-0.8,-0.6,0.7,1957,302,691,134,324,168,367,98,125,17,134,151,92,38,6,77,146,836
"Charlie Bell",2011,31,"SG","GSW",19,0.279,0.286,0.273,0.349,0.5,2294,9,0.6,2.3,0.3,1.1,0.3,1.2,0.1,0.2,0.3,0.6,0.9,0.7,0.3,0.1,0.3,0.7,1.7,171,4.7,0.357,0.488,0.093,0.039,0.081,0.06,0.101,0.018,0.4,0.118,0.131,-0.2,0,-0.1,-0.04,-4.2,-0.8,-5,-0.1,171,12,43,6,21,6,22,2,4,6,12,18,13,6,1,6,13,32
"Raja Bell",2011,34,"SG","UTA",68,0.409,0.352,0.449,0.482,0.892,1952,30.8,2.8,6.9,1,2.8,1.8,4,1.3,1.5,0.5,2.1,2.6,1.7,0.8,0.2,0.9,2.5,8,2097,8.2,0.528,0.413,0.218,0.018,0.084,0.051,0.083,0.014,0.5,0.11,0.126,1.2,0.5,1.7,0.04,-2.4,-0.7,-3.1,-0.6,2097,191,467,68,193,123,274,91,102,31,145,176,118,56,14,63,169,541
"Keith Bogans",2011,30,"SG","CHI",82,0.404,0.38,0.486,0.55,0.656,2586,17.8,1.5,3.7,1.1,2.9,0.4,0.9,0.3,0.4,0.2,1.6,1.8,1.2,0.5,0.1,0.5,1.4,4.4,1461,9,0.559,0.772,0.104,0.016,0.101,0.059,0.101,0.014,0.5,0.113,0.114,1.4,2.2,3.6,0.118,-1.5,1.4,-0.2,0.7,1461,124,307,90,237,34,70,21,32,19,129,148,101,38,9,41,113,359
"Ronnie Brewer",2011,25,"SG","CHI",81,0.48,0.222,0.498,0.487,0.654,200758,22,2.5,5.3,0.1,0.3,2.5,4.9,1.1,1.6,0.7,2.6,3.2,1.7,1.3,0.3,0.7,1,6.2,1781,13.8,0.518,0.063,0.311,0.037,0.132,0.086,0.121,0.032,0.9,0.102,0.139,1.7,3.8,5.4,0.147,-1.3,3.7,2.4,2,1781,205,427,6,27,199,400,87,133,55,207,262,140,106,22,55,82,503
"Shannon Brown",2011,25,"SG","LAL",82,0.425,0.349,0.462,0.482,0.911,200769,19.1,3.3,7.8,0.9,2.6,2.4,5.3,1.1,1.2,0.4,1.5,1.9,1.2,0.8,0.2,0.9,1.5,8.7,1568,13.6,0.518,0.33,0.157,0.026,0.085,0.057,0.1,0.023,0.8,0.098,0.222,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5,1568,273,643,74,212,199,431,92,101,35,122,157,96,67,16,75,124,712
"Kobe Bryant",2011,32,"SG","LAL",82,0.451,0.323,0.487,0.487,0.828,977,33.9,9,20,1.4,4.3,7.6,15.6,5.9,7.1,1,4.1,5.1,4.7,1.2,0.1,3,2.1,25.3,2779,23.9,0.548,0.217,0.356,0.035,0.133,0.085,0.267,0.019,0.3,0.114,0.351,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5,2779,740,1639,115,356,625,1283,483,583,83,336,419,388,99,12,243,172,2078
"Matt Carroll",2011,30,"SG","CHA",54,0.447,0.37,0.471,0.49,0.769,2679,10.8,1.6,3.7,0.3,0.9,1.3,2.8,0.7,1,0.2,1,1.3,0.4,0.3,0.1,0.4,0.8,4.4,582,12.2,0.53,0.231,0.261,0.025,0.117,0.071,0.069,0.016,0.8,0.094,0.198,0.3,0.5,0.8,0.062,-1.9,-0.8,-2.7,-0.1,582,89,199,17,46,72,153,40,52,12,56,68,23,17,6,23,43,235
"Josh Childress",2011,27,"SG","PHO",54,0.565,0.063,0.606,0.568,0.492,2735,16.6,2.2,4,0,0.3,2.2,3.7,0.5,1.1,1.3,1.6,2.9,0.8,0.6,0.4,0.8,1.3,5,894,13,0.567,0.075,0.276,0.089,0.111,0.1,0.07,0.019,0.019,0.155,0.143,0.8,0.6,1.4,0.076,-0.6,0.1,-0.5,0.3,894,121,214,1,16,120,198,29,59,69,86,155,42,33,23,44,68,272
"Daequan Cook",2011,23,"SG","OKC",43,0.436,0.422,0.519,0.616,0.8,201161,13.9,1.8,4.2,1.5,3.6,0.3,0.6,0.4,0.5,0.2,1.5,1.7,0.5,0.3,0,0.4,1.2,5.6,598,12.8,0.63,0.851,0.11,0.016,0.121,0.07,0.053,0.012,0.1,0.082,0.157,1.2,0.4,1.6,0.126,1.8,-0.7,1.1,0.5,598,79,181,65,154,14,27,16,20,8,64,72,20,14,1,17,51,239
"Jamal Crawford",2011,30,"SG","ATL",76,0.421,0.341,0.474,0.489,0.854,2037,30.2,4.8,11.5,1.6,4.6,3.3,6.9,2.9,3.4,0.3,1.4,1.7,3.2,0.8,0.2,1.9,1.3,14.2,2297,14.2,0.545,0.399,0.297,0.012,0.056,0.034,0.177,0.013,0.5,0.128,0.234,1.9,1.4,3.4,0.071,0.6,-1.6,-1,0.6,2297,368,874,119,349,249,525,222,260,22,108,130,241,57,14,145,97,1077
"DeMar DeRozan",2011,21,"SG","TOR",82,0.467,0.096,0.485,0.469,0.813,201942,34.8,6.6,14.1,0.1,0.6,6.5,13.4,4,4.9,0.9,2.9,3.8,1.8,1,0.4,1.8,2.6,17.2,2851,14.5,0.53,0.045,0.348,0.03,0.102,0.065,0.086,0.015,0.8,0.098,0.232,2.8,0.5,3.2,0.055,-0.9,-1.5,-2.5,-0.3,2851,539,1154,5,52,534,1102,327,402,75,240,315,148,85,31,144,217,1410
