Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Xavier Silas,SG,PHI,4,0,48,14,3,0,1,3,4,2,2,5,29.4,2,25.0,2,0.0,24,198,"6'5""",2011
D.J. Kennedy,SG,CLE,2,0,58,12,3,2,0,3,7,1,6,5,41.7,2,50.0,0,0.0,22,215,"0'0""",2011
Cartier Martin,PF,WAS,17,0,391,158,10,11,2,13,58,12,46,59,44.0,29,38.7,11,0.0,27,220,"0'0""",2011
Eric Dawson,PF,SAS,8,0,78,30,0,2,4,6,20,10,10,14,116.6,0,0.0,2,0.0,27,255,"0'0""",2011
Donald Sloan,PG,CLE,35,0,712,191,111,14,3,50,72,18,54,82,39.2,2,7.4,25,31.21,24,205,"6'3""",2011
Alan Anderson,SG,TOR,51,0,"1,380",489,78,15,9,75,102,24,78,165,116.1,72,117.9,87,0.0,29,220,"6'6""",2011
Boris Diaw,C,SAS,58,0,"1,450",372,208,39,25,114,283,71,212,159,44.0,32,30.5,22,67.71,29,250,"6'8""",2011
Ryan Hollins,C,BOS,39,0,529,131,10,5,18,36,82,35,47,45,53.6,0,0.0,41,21.86,27,230,"7'0""",2011
Patty Mills,PG,SAS,15,0,249,160,38,10,1,22,25,4,21,61,49.6,23,45.1,15,0.0,23,180,"6'0""",2011
Jeff Adrien,SF,HOU,9,0,70,23,1,1,3,2,25,6,19,7,43.8,0,0.0,9,0.0,25,245,"6'7""",2011
Earl Barron,PF,GSW,3,0,15,6,0,0,0,0,3,3,0,3,150.0,0,0.0,0,0.0,30,250,"0'0""",2011
Josh Harrellson,PF,NYK,38,0,565,174,10,27,21,22,151,49,102,67,41.1,23,34.8,17,34.38,22,275,"0'0""",2011
E'Twaun Moore,SG,BOS,40,0,363,125,35,12,3,24,37,5,32,47,37.9,18,38.3,13,14.01,22,191,"6'3""",2011
DeMarre Carroll,SF,UTA,25,0,358,111,18,12,1,12,53,26,27,44,41.1,5,29.4,18,20.27,25,215,"6'6""",2011
Isaiah Thomas,PG,SAC,66,0,"1,666",759,263,53,9,109,170,48,122,258,44.6,84,37.5,159,84.7,22,185,"5'9""",2011
Shelvin Mack,PG,WAS,66,0,821,242,137,32,2,51,100,14,86,93,39.6,12,24.5,44,19.38,21,203,"0'0""",2011
LaVoy Allen,PF,PHI,42,0,627,169,34,14,18,20,171,47,124,79,47.3,0,0.0,11,30.85,22,260,"6'9""",2011
Andrew Goudelock,PG,LAL,39,0,393,160,21,3,0,20,28,6,22,61,38.1,27,37.5,11,14.25,23,200,"0'0""",2011
Chris Wright,SF,GSW,24,0,196,76,4,9,15,9,48,21,27,26,53.1,0,0.0,24,16.77,23,226,"6'9""",2011
Darius Morris,PG,LAL,19,0,171,48,19,2,0,19,16,3,13,19,46.3,4,57.1,6,0.0,21,195,"6'4""",2011
Julyan Stone,PG,DEN,24,0,211,41,42,9,8,13,33,5,28,15,42.9,3,21.4,8,19.16,23,200,"0'0""",2011
