team ,yearSeason,EBITDA,Value,Win-to-Player_Cost_Ratio
GSW,2014,44.9M,1.3B,121
GSW,2015,58M,1.9B,213
GSW,2016,74.2M,2.6B,184
GSW,2017,120M,3.1B,202
GSW,2018,103M,3.5B,162
GSW,2019,109M,4.3B,154
GSW,2020,200M,4.7B,33
GSW,2021,-44M,5.6B,68
GSW,2022,206M,7B,137
GSW,2023,79M,7.7B,97
NYK,2014,53.4M,2.5B,65
NYK,2015,109M,3B,33
NYK,2016,141.2M,3.3B,74
NYK,2017,140M,3.6B,64
NYK,2018,155M,4B,66
NYK,2019,157M,4.6B,36
NYK,2020,178M,5B,58
NYK,2021,71M,5.8B,126
NYK,2022,155M,6.1B,91
NYK,2023,169M,6.6B,130
LAL,2014,104.1M,2.6B,50
LAL,2015,133M,2.7B,48
LAL,2016,119.2M,3B,40
LAL,2017,136M,3.3B,58
LAL,2018,147M,3.7B,82
LAL,2019,178M,4.4B,87
LAL,2020,155M,4.6B,211
LAL,2021,63M,5.5B,96
LAL,2022,115M,5.9B,55
LAL,2023,159M,6.4B,111
BOS,2014,54.9M,1.7B,54
BOS,2015,57M,2.1B,100
BOS,2016,60.1M,2.2B,123
BOS,2017,85M,2.5B,162
BOS,2018,100M,2.8B,178
BOS,2019,88M,3.1B,100
BOS,2020,86M,3.2B,178
BOS,2021,46M,3.6B,99
BOS,2022,137M,4B,158
BOS,2023,88M,4.7B,146
LAC,2014,20.1M,1.6B,145
LAC,2015,21M,2B,132
LAC,2016,-11.8M,2B,97
LAC,2017,35M,2.2B,101
LAC,2018,40M,2.2B,82
LAC,2019,73M,2.6B,115
LAC,2020,57M,2.8B,147
LAC,2021,18M,3.3B,139
LAC,2022,12M,3.9B,68
LAC,2023,-12M,4.7B,80
CHI,2014,65.3M,2B,114
CHI,2015,68M,2.3B,123
CHI,2016,45.5M,2.5B,79
CHI,2017,95M,2.6B,104
CHI,2018,114M,2.9B,74
CHI,2019,103M,3.2B,54
CHI,2020,115M,3.3B,59
CHI,2021,39M,3.7B,75
CHI,2022,135M,4.1B,112
CHI,2023,115M,4.6B,91
DAL,2014,30.4M,1.2B,112
DAL,2015,24M,1.4B,100
DAL,2016,40.3M,1.5B,102
DAL,2017,21M,1.9B,63
DAL,2018,99M,2.3B,69
DAL,2019,105M,2.4B,86
DAL,2020,84M,2.5B,119
DAL,2021,55M,2.7B,141
DAL,2022,143M,3.3B,163
DAL,2023,83M,4.5B,73
HOU,2014,38M,1.3B,127
HOU,2015,75M,1.5B,151
HOU,2016,62.7M,1.7B,83
